Apakah anda mengacu pada peta informasi potensi pesanan pada aplikasi untuk memilih lokasi mangkal atau mencari/menunggu pesanan?,"Menurut anda, kapan biasanya rentang waktu peak-hour pesanan dalam satu hari?",Seberapa penting keberadaan fasilitas di bawah ini untuk mempengaruhi anda dalam pemilihan lokasi menunggu pesanan pada jam peak hour tersebut?  [Banyak permukiman di sekitar lokasi menunggu]
3, 16.00-18.00,Penting
4,04:00-05:00,Penting
4,04:05-05:00,Sangat penting
4,05:00-08:00,Penting
3,05:30 - 08:00,Penting
4,05:30 - 08:00,Penting
5,05:30 - 21:00,Sangat penting
4,05.00 - 08.00,Sangat penting
3,05.00-06.00,Penting
4,06:0 - 08:00,Tidak penting
3,06:00 - 07:00,Sangat penting
2,06:00 - 07:30,Sangat penting
4,06:00 - 07:30,Penting
2,06:00 - 08:00,Sangat penting
5,06:00 - 08:00,Penting
2,06:00 - 08:00,Tidak penting
1,06:00 - 08:00,Sangat penting
2,06:00 - 08:00,Penting
4,06:00 - 08:00,Penting
4,06:00 - 08.00,Netral
4,06:00 - 09:00,Penting
1,"06:00 - 09:00,",Tidak penting
