id,peta_acuan,pr_permukiman,pr_perkantoan,pr_pendidikan,pr_ofm,pr_transport_umum,pr_taman,pr_hotel,pr_pasar_mall,pr_kesehatan,usia,jk,status_menikah,pendidikan,jml_motor,jml_mobil,jml_sepeda,jml_kendaraan_pribadi,jml_anggota_rt,posisi_rt,penghasilan_pribadi,penghasilan_keluarga,pekerjaan_selain,jam_online,status_kepemilikan,lama_driver,ojek_konvensional
1,4,Sangat penting,Sangat penting,Sangat penting,Tidak penting,Penting,Tidak penting,Netral,Netral,Penting,26,Laki-laki,Menikah,SMA/SMK,1,0,0,1,3,Kepala rumah tangga,Rp5.000.000-Rp5.999.999,Rp5.000.000-Rp5.999.999,Karyawan Swasta (Full-time),2-4 jam,Pribadi,1-3 tahun,Tidak
2,3,Penting,Penting,Sangat penting,Penting,Penting,Netral,Sangat penting,Sangat penting,Sangat penting,52,Laki-laki,Menikah,SMA/SMK,1,0,0,1,4,Kepala rumah tangga,Rp4.000.000-Rp4.999.999,Rp5.000.000-Rp5.999.999,Wirausahawan,8-10 jam,Pribadi,5-7 tahun,Tidak
3,4,Penting,Penting,Sangat penting,Tidak penting,Penting,Netral,Sangat penting,Sangat penting,Sangat penting,35,Laki-laki,Menikah,SMA/SMK,1,0,1,2,3,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp5.000.000-Rp5.999.999,Tidak ada,Di atas 10 jam,Pribadi,5-7 tahun,Tidak
4,4,Penting,Penting,Sangat penting,Penting,Netral,Tidak penting,Netral,Penting,Penting,70,Laki-laki,Menikah,SMP,1,0,0,1,2,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,8-10 jam,Pribadi,5-7 tahun,Ya
5,3,Tidak penting,Sangat tidak penting,Sangat penting,Sangat tidak penting,Sangat tidak penting,Sangat tidak penting,Penting,Sangat penting,Penting,41,Laki-laki,Menikah,SMP,1,0,0,1,4,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,Di atas 10 jam,Pribadi,7-9 tahun,Ya
6,2,Sangat penting,Sangat penting,Sangat penting,Netral,Sangat penting,Tidak penting,Netral,Penting,Tidak penting,42,Laki-laki,Menikah,SMA/SMK,2,0,0,2,4,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp5.000.000-Rp5.999.999,Tidak ada,8-10 jam,Pribadi,5-7 tahun,Ya
7,2,Sangat penting,Tidak penting,Penting,Sangat penting,Penting,Sangat penting,Sangat tidak penting,Sangat penting,Tidak penting,47,Laki-laki,Menikah,SMA/SMK,1,0,0,1,3,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,8-10 jam,Pribadi,3-5 tahun,Tidak
8,2,Penting,Penting,Tidak penting,Penting,Tidak penting,Tidak penting,Tidak penting,Sangat tidak penting,Sangat tidak penting,30,Laki-laki,Menikah,SMA/SMK,1,0,0,1,4,Kepala rumah tangga,Rp4.000.000-Rp4.999.999,Rp9.000.000-Rp9.999.999,Tidak ada,8-10 jam,Pribadi,5-7 tahun,Tidak
9,4,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Netral,Netral,Netral,Sangat penting,Netral,31,Laki-laki,Menikah,SMA/SMK,2,0,1,3,3,Kepala rumah tangga,Rp1.000.000-Rp.1.999.999,Rp5.000.000-Rp5.999.999,Tidak ada,Di atas 10 jam,Pribadi,5-7 tahun,Ya
10,3,Penting,Penting,Sangat penting,Sangat penting,Sangat penting,Tidak penting,Penting,Sangat penting,Sangat penting,31,Laki-laki,Menikah,SMA/SMK,1,0,1,2,3,Kepala rumah tangga,Di bawah Rp1.000.000,Rp4.000.000-Rp4.999.999,Tidak ada,8-10 jam,Pribadi,5-7 tahun,Ya
11,3,Netral,Tidak penting,Penting,Penting,Tidak penting,Penting,Penting,Penting,Penting,36,Laki-laki,Cerai,SMA/SMK,2,0,1,3,7,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,8-10 jam,Pribadi,5-7 tahun,Tidak
12,5,Penting,Penting,Penting,Penting,Tidak penting,Penting,Penting,Penting,Netral,45,Laki-laki,Menikah,SMA/SMK,1,0,0,1,3,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp2.000.000-Rp2.999.999,Karyawan Swasta (Full-time),4-6 jam,Pribadi,3-5 tahun,Ya
13,4,Tidak penting,Sangat penting,Penting,Sangat penting,Tidak penting,Penting,Tidak penting,Sangat penting,Tidak penting,36,Laki-laki,Menikah,SD,1,0,0,1,3,Kepala rumah tangga,Rp4.000.000-Rp4.999.999,Di bawah Rp1.000.000,Tidak ada,Di atas 10 jam,Pribadi,1-3 tahun,Tidak
14,5,Penting,Penting,Sangat penting,Penting,Netral,Netral,Netral,Sangat penting,Netral,55,Perempuan,Menikah,SMA/SMK,1,0,1,2,5,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp2.000.000-Rp2.999.999,Tidak ada,8-10 jam,Pribadi,3-5 tahun,Ya
15,2,Sangat penting,Tidak penting,Sangat penting,Tidak penting,Sangat tidak penting,Tidak penting,Netral,Penting,Sangat tidak penting,43,Laki-laki,Cerai mati,SD,1,0,0,1,3,Kepala rumah tangga,Rp1.000.000-Rp.1.999.999,Rp1.000.000-Rp.1.999.999,Tidak ada,Di atas 10 jam,Pribadi,3-5 tahun,Ya
16,2,Sangat penting,Penting,Penting,Sangat penting,Sangat tidak penting,Penting,Tidak penting,Sangat penting,Tidak penting,40,Laki-laki,Menikah,SMA/SMK,2,0,2,4,3,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp5.000.000-Rp5.999.999,Tidak ada,8-10 jam,Pribadi,1-3 tahun,Ya
17,1,Sangat tidak penting,Penting,Sangat tidak penting,Penting,Sangat tidak penting,Sangat tidak penting,Netral,Netral,Sangat tidak penting,49,Laki-laki,Menikah,SMA/SMK,1,0,0,1,7,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Di bawah Rp1.000.000,Tidak ada,Di atas 10 jam,Pribadi,3-5 tahun,Tidak
18,1,Penting,Penting,Penting,Penting,Tidak penting,Tidak penting,Tidak penting,Penting,Tidak penting,39,Laki-laki,Cerai,SMA/SMK,1,0,0,1,4,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,8-10 jam,Pribadi,3-5 tahun,Tidak
19,5,Sangat penting,Netral,Penting,Penting,Netral,Penting,Penting,Penting,Penting,32,Laki-laki,Menikah,SMA/SMK,1,0,0,1,3,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp4.000.000-Rp4.999.999,Tidak ada,Di atas 10 jam,Pribadi,5-7 tahun,Tidak
20,5,Penting,Netral,Sangat penting,Sangat penting,Tidak penting,Sangat tidak penting,Sangat tidak penting,Sangat penting,Sangat penting,33,Laki-laki,Menikah,SMP,1,0,0,1,4,Kepala rumah tangga,Rp1.000.000-Rp.1.999.999,Rp1.000.000-Rp.1.999.999,Tidak ada,Di atas 10 jam,Pribadi,5-7 tahun,Tidak
21,3,Penting,Tidak penting,Sangat penting,Sangat penting,Sangat penting,Penting,Tidak penting,Sangat penting,Netral,34,Laki-laki,Menikah,SMP,1,0,1,2,4,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,Di atas 10 jam,Pribadi,3-5 tahun,Ya
22,3,Penting,Penting,Penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Penting,26,Laki-laki,Menikah,SMA/SMK,1,0,1,2,3,Kepala rumah tangga,Rp1.000.000-Rp.1.999.999,Rp2.000.000-Rp2.999.999,Tidak ada,6-8 jam,Pribadi,3-5 tahun,Tidak
23,3,Penting,Sangat penting,Penting,Tidak penting,Netral,Tidak penting,Tidak penting,Penting,Netral,27,Laki-laki,Belum Menikah,Diploma,1,1,0,2,4,Anak,Rp2.000.000-Rp2.999.999,Rp4.000.000-Rp4.999.999,Karyawan Swasta (Part-time),4-6 jam,Pribadi,1-3 tahun,Tidak
24,4,Penting,Penting,Penting,Penting,Penting,Tidak penting,Netral,Netral,Penting,26,Laki-laki,Menikah,SMA/SMK,1,0,0,1,3,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,Di atas 10 jam,Pribadi,1-3 tahun,Tidak
25,1,Netral,Sangat tidak penting,Sangat penting,Tidak penting,Sangat tidak penting,Penting,Tidak penting,Sangat penting,Sangat penting,53,Laki-laki,Menikah,SMP,1,0,0,1,4,Kepala rumah tangga,Di bawah Rp1.000.000,Rp1.000.000-Rp.1.999.999,Karyawan Swasta (Part-time),4-6 jam,Pribadi,3-5 tahun,Ya
26,1,Sangat penting,Netral,Sangat penting,Tidak penting,Sangat penting,Tidak penting,Sangat penting,Netral,Penting,26,Laki-laki,Menikah,SD,0,0,0,0,2,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Di bawah Rp1.000.000,Tidak ada,Di atas 10 jam,Sewa,3-5 tahun,Tidak
27,5,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,43,Laki-laki,Menikah,SMA/SMK,1,0,0,1,2,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp2.000.000-Rp2.999.999,Tidak ada,8-10 jam,Pribadi,7-9 tahun,Ya
